日期,契約名稱,身份別,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額交易口數,多空淨額契約金額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空淨額未平倉口數,多空淨額未平倉契約金額
2025/05/16,MTX,自營商,7166,7773147,6680,7250671,486,522477,10448,11359912,6410,6931343,4038,4428569
2025/05/16,MTX,外資,70601,76741440,71011,77186708,-410,-445268,10465,11400041,3128,3412533,7337,7987508
2025/05/16,ZMX,自營商,9238,2003289,7856,1699986,1382,303304,22946,4991953,6936,1507908,16010,3484045
2025/05/16,TX,自營商,6446,28041192,6288,27357105,158,684087,4644,20173616,7808,33987119,-3164,-13813503
2025/05/16,TE,自營商,133,632510,117,555002,16,77509,112,532922,179,850631,-67,-317709
2025/05/16,MTX,投信,15,16368,18,19525,-3,-3157,148,160992,18,19530,130,141462
2025/05/16,TE,外資,333,1582612,334,1587793,-1,-5181,171,813447,318,1513153,-147,-699706
2025/05/16,TX,投信,4724,20493332,4730,20637511,-6,-144179,52834,230464222,9784,42700122,43050,187764100
2025/05/16,TX,外資,50540,219863769,50548,219812366,-8,51404,20970,91367562,58177,253474781,-37207,-162107219
2025/05/16,ZMX,投信,0,0,0,0,0,0,0,0,0,0,0,0
2025/05/16,ZMX,外資,39764,8639087,38511,8365221,1253,273866,1755,381291,0,0,1755,381291
2025/05/16,NQF,自營商,41,43859,58,61726,-17,-17867,0,0,144,154015,-144,-154015
2025/05/16,NQF,外資,459,490139,360,384299,99,105840,1109,1191712,451,486407,658,705305
2025/05/16,NQF,投信,0,0,0,0,0,0,2,2139,0,0,2,2139
2025/05/19,TX,外資,87647,379210048,88069,380698341,-422,-1488293,23408,100526568,61121,262335289,-37713,-161808721
2025/05/19,TX,投信,30006,129059769,30597,132021728,-591,-2961959,52569,225823923,10110,43446351,42459,182377572
2025/05/19,TE,投信,89,416038,89,417644,0,-1606,195,909839,0,0,195,909839
2025/05/16,TE,投信,41,194044,41,194923,0,-879,195,926674,0,0,195,926674
2025/05/19,TE,自營商,115,540298,131,616213,-16,-75915,100,467808,183,854820,-83,-387012
2025/05/19,TX,自營商,10776,46588988,10401,44922765,375,1666223,4797,20571757,7617,32707741,-2820,-12135984
2025/05/19,MTX,自營商,9703,10492185,10781,11644121,-1078,-1151936,9184,9860468,6390,6818994,2794,3041474
2025/05/19,TE,外資,652,3065120,678,3184723,-26,-119604,177,826860,350,1634533,-173,-807673
2025/05/19,MTX,外資,78520,85215192,83845,91004305,-5325,-5789112,8456,9091742,6780,7291959,1676,1799783
2025/05/19,MTX,投信,0,0,1,1072,-1,-1072,148,158972,19,20365,129,138607
2025/05/19,NQF,自營商,8,8540,25,26552,-17,-18012,1,1062,162,172109,-161,-171047
2025/05/19,ZMX,投信,0,0,0,0,0,0,0,0,0,0,0,0
2025/05/19,ZMX,外資,40140,8723097,43415,9433801,-3275,-710704,1990,427160,150,31747,1840,395413
2025/05/19,ZMX,自營商,6460,1394441,20865,4511325,-14405,-3116884,21244,4564042,18189,3909486,3055,654556
2025/05/19,NQF,外資,275,294137,305,326325,-30,-32188,1064,1135501,436,466904,628,668597
2025/05/20,TX,自營商,10032,43311901,9978,43048249,54,263652,4254,18235171,7068,30340446,-2814,-12105275
2025/05/19,NQF,投信,0,0,0,0,0,0,2,2125,0,0,2,2125
2025/05/20,TX,外資,79159,341645533,79310,342087307,-151,-441774,31993,137474771,69837,299740627,-37844,-162265856
2025/05/20,TE,投信,40,186741,63,295389,-23,-108648,172,802820,0,0,172,802820
2025/05/20,TX,投信,26936,115816173,26187,112887599,749,2928573,53323,228860942,10115,43411792,43208,185449150
2025/05/20,TE,外資,375,1764153,357,1679197,18,84957,210,982037,365,1705961,-155,-723924
2025/05/20,TE,自營商,149,699518,136,637965,13,61553,81,379275,149,696198,-68,-316923
2025/05/20,MTX,自營商,9291,10021006,9869,10640219,-578,-619213,8244,8856857,5976,6377608,2268,2479249
2025/05/20,MTX,投信,69,74048,65,70018,4,4030,152,163105,19,20386,133,142719
2025/05/20,ZMX,自營商,11336,2440871,12104,2606061,-768,-165190,20745,4457306,17758,3817751,2987,639555
2025/05/20,ZMX,投信,0,0,0,0,0,0,0,0,0,0,0,0
2025/05/20,MTX,外資,77684,83902992,77555,83781752,129,121240,6906,7426881,4997,5375743,1909,2051138
2025/05/20,ZMX,外資,41791,9023185,40503,8747022,1288,276163,2340,502727,132,27731,2208,474996
2025/05/20,NQF,自營商,27,28861,27,28653,0,209,3,3219,164,175956,-161,-172737
2025/05/20,NQF,投信,0,0,0,0,0,0,2,2146,0,0,2,2146
2025/05/20,NQF,外資,590,630573,454,485004,136,145569,1161,1250562,397,429407,764,821155
